IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.75.95.136,443,443,true,HKG,Asia Pacific,Hong Kong,104,15.05
210.186.12.244,443,443,true,KUL,Asia Pacific,Kuala Lumpur,258,5.72
47.76.189.214,443,443,true,HKG,Asia Pacific,Hong Kong,38,3.21
140.238.28.86,443,443,true,HKG,Asia Pacific,Hong Kong,61,2.69
47.76.49.246,443,443,true,HKG,Asia Pacific,Hong Kong,544,2.06
47.76.178.146,443,443,true,HKG,Asia Pacific,Hong Kong,41,2.01
34.92.196.87,443,443,true,HKG,Asia Pacific,Hong Kong,188,1.20
103.70.59.32,443,443,true,HKG,Asia Pacific,Hong Kong,43,0.94
34.150.29.153,443,80,false,HKG,Asia Pacific,Hong Kong,41,0.79
202.81.231.150,443,443,true,HKG,Asia Pacific,Hong Kong,142,0.63
38.6.195.111,443,443,true,HKG,Asia Pacific,Hong Kong,316,0.56
34.92.7.35,443,443,true,HKG,Asia Pacific,Hong Kong,183,0.18
207.226.152.42,443,443,true,HKG,Asia Pacific,Hong Kong,413,0.09
43.155.28.244,443,443,true,HKG,Asia Pacific,Hong Kong,49,0.03
118.26.38.134,443,443,true,HKG,Asia Pacific,Hong Kong,142,0.00
221.127.50.207,443,443,true,HKG,Asia Pacific,Hong Kong,317,0.00
8.218.148.106,443,443,true,HKG,Asia Pacific,Hong Kong,38,0.00
8.210.112.235,443,443,true,HKG,Asia Pacific,Hong Kong,41,0.00
43.128.26.74,443,443,true,HKG,Asia Pacific,Hong Kong,46,0.00
202.66.132.250,443,443,true,HKG,Asia Pacific,Hong Kong,45,0.00
